"","STATEFP","COUNTYFP","TRACTCE","POPULATION","LATITUDE","LONGITUDE"
"4850",48,453,1915,1469,30.241468,-97.836938
"4851",48,453,1916,3188,30.302644,-97.884397
"4852",48,453,1917,4709,30.279545,-97.83448
"4853",48,453,1918,2291,30.293529,-97.81034
"4854",48,453,1919,3573,30.277425,-97.794476
"4855",48,453,2002,2865,30.222369,-97.785386
"4856",48,453,2003,3653,30.217956,-97.774867
"4857",48,453,2004,2191,30.236623,-97.786991
"4858",48,453,2005,4729,30.235898,-97.778182
"4859",48,453,2104,2867,30.314541,-97.696378
"4860",48,453,2105,4536,30.315068,-97.704862
"4861",48,453,2106,3027,30.307363,-97.689172
"4862",48,453,2107,3712,30.29925,-97.679961
"4863",48,453,2108,3143,30.297996,-97.667621
"4864",48,453,2109,3830,30.282005,-97.688327
"4865",48,453,2110,4222,30.274162,-97.68042
"4866",48,453,2111,4747,30.262954,-97.690464
"4867",48,453,2112,4996,30.315942,-97.683211
"4868",48,453,2113,3571,30.316321,-97.671377
"4869",48,453,2201,1905,30.310972,-97.655394
"4870",48,453,2202,8039,30.306153,-97.635159
"4872",48,453,2208,7525,30.285733,-97.647013
"4877",48,453,2304,2794,30.241603,-97.724639
"4878",48,453,2307,5270,30.224074,-97.740191
"4879",48,453,2308,6353,30.229475,-97.753314
"4880",48,453,2310,3242,30.222981,-97.665666
"4881",48,453,2312,7157,30.226837,-97.696452
"4882",48,453,2313,4311,30.22314,-97.728376
"4883",48,453,2314,4467,30.227199,-97.719756
"4884",48,453,2315,2941,30.233485,-97.731706
"4885",48,453,2316,4787,30.234873,-97.728226
"4886",48,453,2317,5181,30.243972,-97.703034
"4887",48,453,2318,6451,30.232689,-97.710741
"4888",48,453,2319,1945,30.19945,-97.644599
"4889",48,453,2402,7082,30.201491,-97.77657
"4890",48,453,2403,2616,30.210291,-97.765348
"4892",48,453,2409,3180,30.206658,-97.794314
"4893",48,453,2410,3773,30.205228,-97.787103
"4894",48,453,2411,6161,30.200068,-97.751226
"4895",48,453,2412,5782,30.189861,-97.75155
"4896",48,453,2413,4455,30.196857,-97.740636
"4897",48,453,2419,3890,30.192195,-97.761843
"4899",48,453,2422,5472,30.187319,-97.784099
"4900",48,453,2423,5383,30.179782,-97.805834
"4901",48,453,2424,3379,30.194857,-97.795814
"4904",48,453,2427,7995,30.181081,-97.760894
"4906",48,453,2429,752,30.168616,-97.777726
"4907",48,453,2430,3422,30.172024,-97.757366
"4908",48,453,2431,7110,30.196654,-97.720732
"4914",48,453,2500,5163,30.41524,-97.755628
"4915",48,453,980000,0,30.193318,-97.668428
